pos	5pC>T
1	0.04084940712112
2	0.0241153289180619
3	0.024203431372549
4	0.0255278584416642
5	0.0227590365294616
6	0.0194488193727861
7	0.0175701358527753
8	0.015990184826641
9	0.0150152928398424
10	0.0139595703854706
11	0.0130449939039604
12	0.0126291536678211
13	0.01284868076339
14	0.0123269831228475
15	0.0120246054511545
16	0.0117623636939505
17	0.0116502837398996
18	0.0114452972120807
19	0.0107447692082202
20	0.0102848325766175
21	0.00992486618554663
22	0.00969647337608029
23	0.00936897742667964
24	0.00888312999698129
25	0.00897779771249159
